,campania,anio,sec_campania,texto_folleto,lugar_folleto,imagen_folleto,imagen_especificacion_folleto,vineta_especificacion_folleto,vineta_extendida_folleto,plataforma,estrategia,promocion,descripcion_promocion,criterio_corporativo,pedidos,Num_Prod_x_Campania,Nuevo_Prod_en_Campania
242543,2112,2021,12,False,No Registrado,False,False,False,True,No Aplica,No Aplica,Regular,False,Top Corp,781.0,3916,True
246458,2113,2021,13,False,Varias páginas,False,False,False,True,No Aplica,Power,Promo,False,Top Corp,1319.0,3821,True
250259,2114,2021,14,False,No Registrado,False,False,False,True,No Aplica,No Aplica,Regular,False,Top Corp,530.0,4257,True
254522,2115,2021,15,False,Página,False,False,False,True,No Aplica,No Aplica,Regular,False,Top Corp,518.0,4171,True
258752,2116,2021,16,False,Página,False,False,False,True,No Aplica,No Aplica,Regular,False,Top Corp,480.0,4243,True
262983,2117,2021,17,False,Página,False,False,False,True,No Aplica,No Aplica,Regular,False,Top Corp,530.0,4709,True
267701,2118,2021,18,False,Página,False,False,False,True,No Aplica,No Aplica,Regular,False,Top Corp,505.0,4960,True
2362,1812,2018,12,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top País,2224.0,4433,False
6841,1813,2018,13,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top País,549.0,4353,False
11102,1814,2018,14,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top País,2209.0,4178,False
15510,1815,2018,15,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top País,422.0,4573,False
20213,1816,2018,16,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top País,463.0,4594,False
24905,1817,2018,17,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top País,3156.0,4771,False
29446,1818,2018,18,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top País,531.0,4419,False
33592,1901,2019,1,True,Menos de media página,False,True,False,False,Plataforma inicial,Power,Regular,True,Top País,462.0,4184,False
37945,1902,2019,2,True,Menos de media página,False,True,False,False,Plataforma interior,Power,Regular,True,Top País,384.0,4260,False
42062,1903,2019,3,True,Menos de media página,False,True,False,False,Plataforma interior,Power,Regular,True,Top País,403.0,4283,False
46478,1904,2019,4,True,Menos de media página,False,True,False,False,Plataforma interior,Power,Regular,True,Top País,598.0,4225,False
50602,1905,2019,5,True,Menos de media página,False,True,False,False,Plataforma inicial,Power,Regular,True,Top País,472.0,4212,False
54878,1906,2019,6,True,Menos de media página,False,True,False,False,Plataforma interior,Power,Regular,True,Top País,283.0,4489,False
59408,1907,2019,7,True,Media página,False,True,False,False,Plataforma interior,Power,Promo,True,Top País,2546.0,4642,False
64078,1908,2019,8,True,Menos de media página,False,True,False,False,Plataforma interior,Power,Regular,True,Top País,277.0,4521,False
68580,1909,2019,9,True,Menos de media página,False,True,False,False,Plataforma interior,Power,Regular,True,Top País,390.0,4518,False
73183,1910,2019,10,True,Menos de media página,False,True,False,False,Plataforma interior,Power,Regular,True,Top País,344.0,4455,False
77583,1911,2019,11,True,Menos de media página,False,True,False,False,Plataforma inicial,Power,Promo,True,Top País,2746.0,4441,False
82087,1912,2019,12,True,Menos de media página,False,True,False,False,Plataforma final,Power,Regular,True,Top País,413.0,4477,False
86387,1913,2019,13,True,Menos de media página,False,True,False,False,Plataforma interior,Power,Regular,True,Top País,323.0,4425,False
90784,1914,2019,14,True,Menos de media página,False,True,True,False,Plataforma interior,Power,Regular,True,Top País,1358.0,4716,False
95528,1915,2019,15,True,Menos de media página,False,True,False,False,Plataforma interior,Power,Regular,True,Top País,450.0,4600,False
100044,1916,2019,16,False,Menos de media página,False,False,False,False,No Aplica,No Aplica,Regular,True,Top País,649.0,4526,True
104423,1917,2019,17,False,Media página,False,False,False,True,No Aplica,Power,Promo,True,Top País,2781.0,4460,True
109150,1918,2019,18,True,Menos de media página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top País,538.0,4767,True
113772,2001,2020,1,True,Media página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top País,244.0,4369,True
117971,2002,2020,2,True,Media página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top País,368.0,4049,True
122176,2003,2020,3,True,Media página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top País,278.0,4193,True
126256,2004,2020,4,False,Media página,False,False,False,True,No Aplica,Power,Promo,True,Top País,2769.0,4130,True
130387,2005,2020,5,False,Media página,False,False,False,False,Plataforma inicial,Power,Regular,True,Top País,407.0,4111,True
134904,2006,2020,6,True,Menos de media página,False,False,False,False,Plataforma inicial,Power,Regular,True,Top País,675.0,4924,True
139733,2007,2020,7,True,Media página,False,False,False,False,No Aplica,Power,Promo,True,Top País,2063.0,4765,True
144446,2008,2020,8,False,Media página,False,False,False,False,Plataforma inicial,Power,Regular,True,Top País,772.0,5009,True
149004,2010,2020,10,False,Media página,False,False,False,False,No Aplica,Power,Promo,True,Top País,2838.0,4687,True
153654,2011,2020,11,False,Media página,False,False,False,False,Plataforma inicial,Power,Regular,True,Top País,679.0,4645,True
158531,2012,2020,12,True,Media página,False,False,False,False,Plataforma final,Power,Promo,True,Top País,711.0,4833,True
